"filename", "language", "HTML", "TypeScript", "JSON", "Svelte", "CSS", "SCSS", "JSON with Comments", "YAML", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/.github/workflows/test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 3, 23
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/.prettierrc", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/auto-imports.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package-lock.json", "JSON", 0, 0, 7389, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7390
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/privacypolicy.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/manifest.json", "JSON", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 1, 65
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/auto-imports.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Auth.svelte", "Svelte", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/DatabaseProps.svelte", "Svelte", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 18, 143
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Flow.svelte", "Svelte", 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 26, 526
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Header.svelte", "Svelte", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Organizer.svelte", "Svelte", 0, 0, 0, 362, 0, 0, 0, 0, 0, 0, 6, 30, 398
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Popup.svelte", "Svelte", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 10, 87
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Props.svelte", "Svelte", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 18, 155
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsCheckbox.svelte", "Svelte", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
