"filename", "language", "TypeScript", "HTML", "XML", "CSS", "Svelte", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/auto-imports.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package-lock.json", "JSON", 0, 0, 0, 0, 0, 1367, 0, 0, 0, 0, 1367
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/icons/backspace-outline.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/icons/check.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/icons/chevron-down.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/icons/close.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/media/darkThumb.svg", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/media/lightThumb.svg", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/media/logomark.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/media/systemThumb.svg", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/@types/input_providers.d.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 7, 91
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/@types/output_providers.d.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/@types/platform.d.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 12, 109
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/auto-imports.d.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, -1, -1, -6
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Auth.svelte", "Svelte", 0, 0, 0, 0, 249, 0, 0, 0, 0, 13, 262
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/DatabaseProps.svelte", "Svelte", 0, 0, 0, 0, -125, 0, 0, 0, 0, -18, -143
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Flow.svelte", "Svelte", 0, 0, 0, 0, -500, 0, 0, 0, 0, -26, -526
