"filename", "language", "TypeScript", "JSON", "HTML", "JSON with Comments", "Markdown", "JavaScript", "YAML", "XML", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/.github/workflows/test.yml", "YAML", 0, 0, 0, 0, 0, 0, -18, 0, -2, -3, -23
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/.prettierrc", "JSON", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/README.md", "Markdown", 0, 0, 0, 0, -2, 0, 0, 0, 0, -2, -4
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/auto-imports.d.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, -1, -1, -6
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package-lock.json", "JSON", 0, -8756, 0, 0, 0, 0, 0, 0, 0, -1, -8757
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package.json", "JSON", 0, -52, 0, 0, 0, 0, 0, 0, 0, -1, -53
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/privacypolicy.html", "HTML", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/icons/backspace-outline.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/icons/check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/icons/chevron-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/icons/close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/manifest.json", "JSON", 0, -62, 0, 0, 0, 0, 0, 0, -2, 0, -64
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/media/darkThumb.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -8, 0, -1, -9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/media/lightThumb.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -8, 0, -1, -9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/media/logomark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/media/systemThumb.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -26, 0, -1, -27
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/svelte.config.js", "JavaScript", 0, 0, 0, 0, 0, -8, 0, 0, -2, -4, -14
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/termsofuse.html", "HTML", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/tsconfig.json", "JSON with Comments", 0, 0, 0, -19, 0, 0, 0, 0, -6, -1, -26
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/tsconfig.node.json", "JSON", 0, -8, 0, 0, 0, 0, 0, 0, -1, -1, -10
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/vite.config.ts", "TypeScript", -45, 0, 0, 0, 0, 0, 0, 0, -1, -8, -54
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/vscode/.favorites.json", "JSON", 0, -11, 0, 0, 0, 0, 0, 0, 0, -1, -12
"Total", "-", -49, -8898, -2, -19, -2, -8, -18, -59, -15, -29, -9099
