"filename", "language", "TypeScript", "Svelte", "SCSS", "HTML", "XML", "CSS", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/@types/input_providers.d.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 7, 91
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/@types/output_providers.d.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 7, 68
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/@types/platform.d.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 0, 12, 109
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Auth.svelte", "Svelte", 0, 297, 0, 0, 0, 0, 0, 19, 316
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Popup.svelte", "Svelte", 0, 217, 0, 0, 0, 0, 0, 32, 249
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/FlowEditor.svelte", "Svelte", 0, 375, 0, 0, 0, 0, 1, 13, 389
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/FlowItem.svelte", "Svelte", 0, 199, 0, 0, 0, 0, 0, 9, 208
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/FlowList.svelte", "Svelte", 0, 128, 0, 0, 0, 0, 6, 19, 153
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/FlowSettings.svelte", "Svelte", 0, 127, 0, 0, 0, 0, 7, 4, 138
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/InputData.svelte", "Svelte", 0, 268, 0, 0, 0, 0, 0, 9, 277
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/Ouputs.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/Prop.svelte", "Svelte", 0, 101, 0, 0, 0, 0, 3, 11, 115
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/Props.svelte", "Svelte", 0, 196, 0, 0, 0, 0, 0, 16, 212
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/flows/SaveButton.svelte", "Svelte", 0, 198, 0, 0, 0, 0, 0, 10, 208
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/main/Instant.svelte", "Svelte", 0, 112, 0, 0, 0, 0, 0, 7, 119
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/main/Main.svelte", "Svelte", 0, 205, 0, 0, 0, 0, 5, 24, 234
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/main/Settings.svelte", "Svelte", 0, 263, 0, 0, 0, 0, 0, 12, 275
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/main/TabBar.svelte", "Svelte", 0, 43, 0, 0, 0, 0, 0, 7, 50
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/main/TitleBar.svelte", "Svelte", 0, 165, 0, 0, 0, 0, 18, 6, 189
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Button.svelte", "Svelte", 0, 175, 0, 0, 0, 0, 0, 8, 183
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/DateTime.svelte", "Svelte", 0, 1, 0, 0, 0, 0, 181, 2, 184
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/HorRule.svelte", "Svelte", 0, 17, 0, 0, 0, 0, 0, 6, 23
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Icon.svelte", "Svelte", 0, 66, 0, 0, 0, 0, 0, 5, 71
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/InputLabel.svelte", "Svelte", 0, 106, 0, 0, 0, 0, 0, 7, 113
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Radio.svelte", "Svelte", 0, 89, 0, 0, 0, 0, 0, 4, 93
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/TextInput.svelte", "Svelte", 0, 180, 0, 0, 0, 0, 0, 15, 195
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Toggle.svelte", "Svelte", 0, 101, 0, 0, 0, 0, 0, 11, 112
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Tooltip.svelte", "Svelte", 0, 103, 0, 0, 0, 0, 0, 10, 113
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebDataDropdownItem.svelte", "Svelte", 0, 125, 0, 0, 0, 0, 6, 14, 145
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebDataSelect.svelte", "Svelte", 0, 241, 0, 0, 0, 0, 0, 31, 272
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebIcon.svelte", "Svelte", 0, 364, 0, 0, 0, 0, 0, 20, 384
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/context-menu/ContextMenu.svelte", "Svelte", 0, 87, 0, 0, 0, 0, 21, 9, 117
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/select/NotionSelect.svelte", "Svelte", 0, 135, 0, 0, 0, 0, 0, 11, 146
